WEEK_START,STATE,NUM_SEQ,PC_DELTA
2021-05-03,AL,,7
2021-05-17,AL,,5
2021-05-31,AL,133,23
2021-06-14,AL,125,50
2021-06-28,AL,358,80
2021-07-12,AL,1048,93
2021-07-26,AL,2484,97
2021-08-09,AL,1798,99
2021-08-23,AL,1694,99
2021-09-06,AL,1399,99
2021-09-20,AL,633,100
2021-10-04,AL,385,99
2021-10-18,AL,207,100
2021-11-01,AL,103,96
2021-11-15,AL,69,100
2021-11-29,AL,80,99
2021-12-13,AL,,42
2021-12-27,AL,,4
2021-05-03,AK,,0
2021-05-17,AK,,2
2021-05-31,AK,132,14
2021-06-14,AK,161,30
2021-06-28,AK,260,77
2021-07-12,AK,621,94
2021-07-26,AK,360,97
2021-08-09,AK,1026,99
2021-08-23,AK,788,99
2021-09-06,AK,936,100
2021-09-20,AK,395,100
2021-10-04,AK,560,100
2021-10-18,AK,439,100
2021-11-01,AK,442,100
2021-11-15,AK,345,100
2021-11-29,AK,128,99
2021-12-13,AK,,42
2021-12-27,AK,,8
2021-05-03,AZ,,2
2021-05-17,AZ,,7
2021-05-31,AZ,437,17
2021-06-14,AZ,635,46
2021-06-28,AZ,1229,74
2021-07-12,AZ,1782,90
2021-07-26,AZ,2101,97
2021-08-09,AZ,2645,98
2021-08-23,AZ,2577,99
2021-09-06,AZ,2512,100
2021-09-20,AZ,2511,100
2021-10-04,AZ,2776,98
2021-10-18,AZ,2974,100
2021-11-01,AZ,3548,100
2021-11-15,AZ,3084,99
2021-11-29,AZ,1933,99
2021-12-13,AZ,,63
2021-12-27,AZ,,9
2021-05-03,AR,,18
2021-05-17,AR,,23
2021-05-31,AR,221,52
2021-06-14,AR,325,75
2021-06-28,AR,887,93
2021-07-12,AR,1380,97
2021-07-26,AR,1391,98
2021-08-09,AR,1136,100
2021-08-23,AR,1187,99
2021-09-06,AR,952,99
2021-09-20,AR,575,100
2021-10-04,AR,619,100
2021-10-18,AR,329,99
2021-11-01,AR,260,100
2021-11-15,AR,235,98
2021-11-29,AR,141,100
2021-12-13,AR,,75
2021-12-27,AR,,14
2021-05-03,CA,,5
2021-05-17,CA,,9
2021-05-31,CA,2638,30
2021-06-14,CA,3306,56
2021-06-28,CA,7155,81
2021-07-12,CA,18534,94
2021-07-26,CA,35103,97
2021-08-09,CA,26459,99
2021-08-23,CA,19702,98
2021-09-06,CA,16913,98
2021-09-20,CA,13664,100
2021-10-04,CA,12835,100
2021-10-18,CA,15933,100
2021-11-01,CA,17315,100
2021-11-15,CA,12635,100
2021-11-29,CA,9552,99
2021-12-13,CA,,34
2021-12-27,CA,,5
2021-05-03,CO,,5
2021-05-17,CO,,17
2021-05-31,CO,1440,42
2021-06-14,CO,1049,75
2021-06-28,CO,1673,88
2021-07-12,CO,2704,95
2021-07-26,CO,4319,98
2021-08-09,CO,5194,99
2021-08-23,CO,5943,100
2021-09-06,CO,6891,100
2021-09-20,CO,7541,100
2021-10-04,CO,10341,100
2021-10-18,CO,11304,100
2021-11-01,CO,16298,100
2021-11-15,CO,8418,100
2021-11-29,CO,1940,100
2021-12-13,CO,,45
2021-12-27,CO,,4
2021-05-03,CT,,4
2021-05-17,CT,,6
2021-05-31,CT,114,10
2021-06-14,CT,117,41
2021-06-28,CT,168,71
2021-07-12,CT,536,92
2021-07-26,CT,1218,98
2021-08-09,CT,1263,99
2021-08-23,CT,1161,99
2021-09-06,CT,1336,100
2021-09-20,CT,982,100
2021-10-04,CT,1328,100
2021-10-18,CT,1360,100
2021-11-01,CT,1821,100
2021-11-15,CT,1888,100
2021-11-29,CT,1385,95
2021-12-13,CT,,49
2021-12-27,CT,,7
2021-05-03,DE,,4
2021-05-17,DE,,3
2021-05-31,DE,85,16
2021-06-14,DE,49,29
